"time","height","velocity","der(height)","der(velocity)"
0,10,0,-0,9.81
0.02,9.998037999998889,0.1962,-0.1962,9.81
0.04,9.992151999998786,0.3924,-0.3924,9.81
0.06,9.982341999998715,0.5886,-0.5886,9.81
0.08,9.968607999998675,0.7847999999999998,-0.7847999999999998,9.81
0.1,9.950949999998633,0.9809999999999999,-0.9809999999999999,9.81
0.12,9.929367999998602,1.1772,-1.1772,9.81
0.14,9.903861999998577,1.3734,-1.3734,9.81
0.16,9.874431999998556,1.5696,-1.5696,9.81
0.18,9.841077999998534,1.7658,-1.7658,9.81
0.2,9.803799999998512,1.962,-1.962,9.81
0.22,9.762597999998494,2.1582,-2.1582,9.81
0.24,9.717471999998478,2.3544,-2.3544,9.81
0.26,9.668421999998465,2.5506,-2.5506,9.81
0.28,9.615447999998453,2.7468,-2.7468,9.81
0.3,9.558549999998448,2.943,-2.943,9.81
0.32,9.497727999998434,3.1392,-3.1392,9.81
0.34,9.432981999998422,3.3354,-3.3354,9.81
0.36,9.36431199999841,3.5316,-3.5316,9.81
0.38,9.291717999998397,3.7278,-3.7278,9.81
0.4,9.215199999998386,3.924,-3.924,9.81
0.42,9.134757999998376,4.120200000000001,-4.120200000000001,9.81
0.44,9.050391999998366,4.3164,-4.3164,9.81
0.46,8.962101999998358,4.512600000000001,-4.512600000000001,9.81
0.48,8.869887999998349,4.7088,-4.7088,9.81
0.5,8.773749999998342,4.905,-4.905,9.81
0.52,8.673687999998336,5.1012,-5.1012,9.81
0.54,8.56970199999833,5.297400000000001,-5.297400000000001,9.81
0.5600000000000001,8.461791999998322,5.493600000000001,-5.493600000000001,9.81
0.58,8.34995799999832,5.6898,-5.6898,9.81
0.6,8.234199999998314,5.886,-5.886,9.81
0.62,8.114517999998307,6.082200000000002,-6.082200000000002,9.81
0.64,7.9909119999983,6.278400000000002,-6.278400000000002,9.81
0.66,7.863381999998293,6.474600000000002,-6.474600000000002,9.81
0.68,7.731927999998287,6.670800000000003,-6.670800000000003,9.81
0.7,7.596549999998281,6.867000000000002,-6.867000000000002,9.81
0.72,7.457247999998274,7.063200000000002,-7.063200000000002,9.81
0.74,7.314021999998268,7.259400000000002,-7.259400000000002,9.81
0.76,7.166871999998262,7.455600000000003,-7.455600000000003,9.81
0.78,7.015797999998256,7.651800000000002,-7.651800000000002,9.81
0.8,6.86079999999825,7.848000000000003,-7.848000000000003,9.81
0.82,6.701877999998246,8.044200000000002,-8.044200000000002,9.81
0.84,6.53903199999824,8.240400000000003,-8.240400000000003,9.81
0.86,6.372261999998234,8.436600000000002,-8.436600000000002,9.81
0.88,6.201567999998229,8.632800000000003,-8.632800000000003,9.81
0.9,6.026949999998224,8.829000000000002,-8.829000000000002,9.81
0.92,5.848407999998219,9.025200000000003,-9.025200000000003,9.81
0.9399999999999999,5.665941999998216,9.221400000000003,-9.221400000000003,9.81
0.96,5.479551999998211,9.417600000000002,-9.417600000000002,9.81
0.98,5.289237999998208,9.613800000000003,-9.613800000000003,9.81
1,5.094999999998204,9.810000000000002,-9.810000000000002,9.81
1.02,4.8968379999982,10.0062,-10.0062,9.81
1.04,4.694751999998196,10.2024,-10.2024,9.81
1.06,4.488741999998193,10.3986,-10.3986,9.81
1.08,4.278807999998189,10.5948,-10.5948,9.81
1.1,4.064949999998186,10.791,-10.791,9.81
1.12,3.847167999998183,10.9872,-10.9872,9.81
1.14,3.625461999998183,11.1834,-11.1834,9.81
